ID,TYPE,COMMIT #,STATUS,DESCRIPTION,REPORTER,ASSIGNEE,DUE,CREATED,RESOLVED,NOTES
1,task,24c132f,closed,"skeleton",,"Joseph",31-Mar,26-Mar,27-Mar,
2,task,26c66f0,closed,Node.h,,"Joseph, Hong Wei, Stanley",31-Mar,26-Mar,29-Mar,
3,task,26c66f0,closed,Node.cpp,,"Joseph, Hong Wei, Stanley",31-Mar,26-Mar,29-Mar,
4,task,26c66f0,closed,List.h,,"Joseph, Hong Wei, Stanley",31-Mar,26-Mar,29-Mar,
5,task,26c66f0,closed,List.cpp,,"Joseph, Hong Wei, Stanley",31-Mar,26-Mar,29-Mar,
6,task,26c66f0,closed,Iterator.h,,"Joseph, Hong Wei, Stanley",31-Mar,26-Mar,29-Mar,
7,task,26c66f0,closed,Iterator.cpp,,"Joseph, Hong Wei, Stanley",31-Mar,26-Mar,29-Mar,
8,task,26c66f0,closed,Driver_phase1.cpp - test file read,,"Joseph, Hong Wei, Stanley",31-Mar,26-Mar,29-Mar,
9,task,fdc5b5e,closed,Car.h,,"Joseph, Hong Wei, Stanley",03-Apr,30-Mar,03-Apr, 
10,task,fdc5b5e,closed,Car.cpp,,"Joseph, Hong Wei, Stanley",03-Apr,30-Mar,03-Apr,
11,task,b236baa,closed,data.csv,,"Joseph, Hong Wei, Stanley",03-Apr,30-Mar,07-Apr, 
12,task,b236baa,closed,"Node.cpp/.h-new complex data type",,"Joseph, Hong Wei, Stanley",07-Apr,07-Apr,07-Apr,
13,task,b236baa,closed,"List.cpp/.h-new complex data type",,"Joseph, Hong Wei, Stanley",07-Apr,07-Apr,07-Apr,
14,task,b236baa,closed,"Iterator.cpp/.h-new complex data type",,"Joseph, Hong Wei, Stanley",07-Apr,07-Apr,07-Apr,
15,task,b236baa,closed,"Driver_phase2.cpp - test file read with new complex data type",,"Joseph, Hong Wei, Stanley",07-Apr,26-Mar,07-Apr,
16,fix,0097e74,closed,"Driver_phase2.cpp - test file read with new complex data type",Joseph,"Joseph, Hong Wei, Stanley",11-Apr,11-Apr,11-Apr,"Tested all functions in Car.cpp"
17,fix,0097e74,closed,"Issue Tracker- has been reorganized",Joseph,Joseph,11-Apr,11-Apr,11-Apr,
18,task,8b40829,closed,"Phase 3 skeleton",,Joseph,11-Apr,11-Apr,11-Apr,
19,task,8b40829,closed,"List.h- New functions added",,Joseph,13-Apr,11-Apr,11-Apr,
20,task,dc45624,closed,"List.cpp- Merge and MergeSort function",,"Joseph, Stanley",13-Apr,11-Apr,14-Apr,
21,task,33fcfe2,closed,"List.cpp- Reverse",,Hong Wei,13-Apr,11-Apr,13-Apr,
22,task,dc45624,closed,"Driver_phase3.cpp- test file read with new functions",,"Joseph, Hong Wei, Stanley",14-Apr,11-Apr,14-Apr,
23,fix,dc45624,closed,"Car.cpp-Fixed Compare function",Joseph,Joseph,14-Apr,14-Apr,14-Apr,
24,task,1f53835,closed,"Project 2 complete",,"Joseph, Hong Wei, Stanley",14-Apr,14-Apr,14-Apr,"Added authors to .cpp functions"
